first_name,second_name
Andy,Lonergan
Tim,Iroegbunam
Jesse,Lingard
Mark,Noble
Darren,Randolph
Lukasz,Fabianski
Aaron,Cresswell
Andriy,Yarmolenko
Michail,Antonio
Ryan,Fredericks
Manuel,Lanzini
Arthur,Masuaku
Jarrod,Bowen
Declan,Rice
Tomas,Soucek
Pablo,Fornals
Ben,Johnson
Vladimir,Coufal
Craig,Dawson
Jamal,Baptiste
John,Ruddy
João Filipe Iria,Santos Moutinho
Willy,Boly
Conor,Coady
Raúl,Jiménez
Leander,Dendoncker
Rúben Diogo,da Silva Neves
Fabio,Silva
Fernando,Marçal
Ki-Jana,Hoever
Rayan,Ait Nouri
Luke,Cundle
Hugo,Bueno
