first_name,second_name
Ruben,Loftus-Cheek
Wayne,Hennessey
Julian,Speroni
Martin,Kelly
Pape,Souaré
Patrick,van Aanholt
Wilfried,Zaha
James,McArthur
Andros,Townsend
Luka,Milivojevic
Christian,Benteke
Jairo,Riedewald
Aaron,Wan-Bissaka
Theo,Walcott
Jordan,Pickford
Leighton,Baines
Seamus,Coleman
Phil,Jagielka
Jonjoe,Kenny
Michael,Keane
Morgan,Schneiderlin
Idrissa,Gueye
Tom,Davies
Oumar,Niasse
Cenk,Tosun
Joel,Coleman
Jonas,Lössl
Christopher,Schindler
Chris,Löwe
Tommy,Smith
Jon Gorenc,Stankovic
Mathias,Jorgensen
Aaron,Mooy
Jonathan,Hogg
Philip,Billing
Collin,Quaner
Laurent,Depoitre
Steve,Mounie
Florent,Hadergjonaj
Abdelhamid,Sabiri
Terence,Kongolo
Alex,Pritchard
Ben,Hamer
Wes,Morgan
Christian,Fuchs
Danny,Simpson
Harry,Maguire
Riyad,Mahrez
Demarai,Gray
Jamie,Vardy
Kelechi,Iheanacho
Eldin,Jakupovic
Hamza,Choudhury
Harvey,Barnes
Simon,Mignolet
Dejan,Lovren
Alberto,Moreno
Nathaniel,Clyne
James,Milner
Trent,Alexander-Arnold
Jordan,Henderson
Adam,Lallana
Sadio,Mané
Georginio,Wijnaldum
Mohamed,Salah
Roberto,Firmino
Danny,Ings
Virgil,van Dijk
Andrew,Robertson
Danny,Ward
Danny,Ward
Curtis,Jones
Rafael,Camacho
Ederson,Santana de Moraes
John,Stones
Vincent,Kompany
Nicolás,Otamendi
Fabian,Delph
Raheem,Sterling
David,Silva
Fernando,Luiz Rosa
Kevin,De Bruyne
Ilkay,Gündogan
Leroy,Sané
Bernardo Mota,Veiga de Carvalho e Silva
Gabriel Fernando,de Jesus
Kyle,Walker
Danilo Luiz,da Silva
Benjamin,Mendy
Phil,Foden
Oleksandr,Zinchenko
Aymeric,Laporte
Alexis,Sánchez
Nemanja,Matic
Sergio,Romero
Chris,Smalling
Phil,Jones
Luke,Shaw
Marcos,Rojo
Antonio,Valencia
Matteo,Darmian
Victor,Lindelöf
Juan,Mata
Ashley,Young
Ander,Herrera
Jesse,Lingard
Anthony,Martial
Paul,Pogba
Scott,McTominay
Marcus,Rashford
Robert,Elliot
Karl,Darlow
Jamaal,Lascelles
Paul,Dummett
Matt,Ritchie
Jonjo,Shelvey
Mohamed,Diamé
Ayoze,Pérez
Javier,Manquillo
Jose Luis,Mato Sanmartín
Isaac,Hayden
Martin,Dubravka
Alex,McCarthy
Fraser,Forster
Ryan,Bertrand
Maya,Yoshida
Jack,Stephens
James,Ward-Prowse
Oriol,Romeu Vidal
Pierre-Emile,Højbjerg
Joshua,Sims
Nathan,Redmond
Shane,Long
Charlie,Austin
Kurt,Zouma
Lee,Grant
Xherdan,Shaqiri
Peter,Crouch
Lukasz,Fabianski
Federico,Fernández
Alfie,Mawson
Sung-yueng,Ki
Jordan,Ayew
Fernando,Llorente
Hugo,Lloris
Michel,Vorm
Toby,Alderweireld
Danny,Rose
Jan,Vertonghen
Ben,Davies
Eric,Dier
Erik,Lamela
Christian,Eriksen
Bamidele,Alli
Victor,Wanyama
Moussa,Sissoko
Harry,Kane
Kyle,Walker-Peters
Davinson,Sánchez
Paulo,Gazzaniga
Alfie,Whiteman
Lucas,Rodrigues Moura da Silva
Andre,Gray
Nathaniel,Chalobah
Heurelho,Gomes
Craig,Cathcart
Christian,Kabasele
Daryl,Janmaat
Adrian,Mariappa
Abdoulaye,Doucouré
Roberto,Pereyra
Will,Hughes
Troy,Deeney
Jerome,Sinclair
Richarlison,de Andrade
Gerard,Deulofeu
Daniel,Sturridge
Ben,Foster
Jonny,Evans
Salomón,Rondón
Marko,Arnautovic
