assists,element_type,clean_sheets,creativity,goals_conceded,goals_scored,minutes,influence,points_per_game,saves,bonus,yellow_cards,total_points,total_points_next
6,3,9,399,13,4,1553,382,3,0,9,2,95,125
1,3,10,512,8,4,1348,325,3,0,3,1,73,107
3,4,7,411,15,5,1712,316,2,0,2,3,76,104
0,1,14,10,48,0,3420,553,3,76,4,3,134,73
5,2,12,442,36,2,2507,517,4,0,9,3,123,103
1,2,7,62,32,1,2070,532,3,0,8,2,78,76
3,2,11,648,36,0,2515,591,3,0,11,7,102,85
0,2,3,114,6,0,592,94,3,0,5,0,31,55
1,3,12,880,40,7,2898,545,3,0,13,2,126,72
4,3,9,729,26,4,1883,427,3,0,5,4,92,84
7,3,13,1144,29,3,2411,455,3,0,4,4,108,122
0,3,13,280,42,1,3071,585,2,0,4,11,80,68
2,3,3,132,15,5,893,255,3,0,8,0,73,109
0,3,6,305,16,0,1300,222,1,0,0,2,38,39
1,4,6,134,8,6,934,274,4,0,10,1,62,72
0,1,2,0,8,0,450,121,4,17,2,0,20,125
2,2,9,65,53,1,3150,732,2,0,6,6,94,67
1,2,6,165,25,0,1629,354,3,0,5,1,58,33
2,2,10,353,50,0,3151,583,2,0,9,5,103,71
0,2,3,146,17,0,1168,155,1,0,0,4,27,33
0,2,6,176,34,0,1957,350,2,0,3,1,56,5
4,3,6,477,23,1,1491,263,2,0,5,7,59,10
7,3,9,768,43,6,2713,530,3,0,8,9,117,144
2,3,8,672,21,4,1699,293,3,0,8,2,80,155
3,4,4,260,23,7,1343,346,2,0,7,3,79,73
2,4,5,148,26,1,1385,198,1,0,2,3,51,99
0,1,4,40,50,0,2610,933,3,135,9,0,102,145
1,2,5,534,53,5,2498,616,3,0,9,3,98,95
3,4,6,274,63,15,3322,630,4,0,24,1,166,60
0,1,8,0,69,0,3330,780,3,117,8,1,116,157
0,1,0,0,1,0,90,24,3,4,0,0,3,0
0,2,8,407,48,1,2714,589,2,0,7,5,82,101
3,2,13,119,40,1,3160,927,3,0,9,7,127,56
0,2,1,122,24,1,831,221,1,0,1,1,26,4
1,2,6,38,41,0,2430,579,2,0,4,7,63,85
0,2,1,1,20,1,662,191,2,0,0,1,16,74
1,3,3,222,51,0,2232,331,1,0,0,7,50,100
2,3,5,428,42,3,1917,273,2,0,2,1,74,17
0,3,5,72,24,0,1163,127,2,0,0,3,32,10
1,3,4,210,28,0,1291,160,1,0,0,3,41,73
3,3,6,233,25,6,1439,324,3,0,5,1,89,77
0,1,15,20,24,0,3004,664,4,78,6,0,143,144
0,1,2,0,2,0,416,70,3,7,0,0,17,3
0,2,14,102,17,1,2601,618,4,0,4,1,120,43
6,2,14,570,21,0,2701,564,4,0,18,8,142,138
0,2,15,121,21,0,2894,790,3,0,8,5,126,138
3,2,8,449,13,1,1739,452,3,0,5,1,90,143
0,2,0,14,4,0,357,39,0,0,0,3,2,19
0,3,16,223,24,2,3043,663,2,0,4,6,93,85
6,3,6,538,32,5,2135,412,3,0,8,2,110,15
20,3,16,1679,24,8,3159,974,6,0,30,0,218,199
2,3,5,268,18,1,1389,253,2,0,4,1,52,85
11,3,17,778,22,18,3036,969,6,0,17,4,225,175
2,3,12,486,25,4,3012,609,2,0,7,10,103,32
7,4,14,548,19,29,2523,1279,7,0,33,3,224,217
0,1,7,10,64,0,3337,834,3,117,6,1,113,64
4,2,7,567,61,2,2905,666,2,0,9,14,87,72
2,2,5,214,39,0,2638,461,2,0,6,8,74,70
4,4,6,555,52,10,2944,617,3,0,18,7,130,73
0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,6,20,51,0,3420,767,3,115,4,2,113,123
1,2,4,117,39,2,2637,626,2,0,7,8,79,78
0,2,6,317,50,4,3276,742,2,0,6,10,102,87
